Price,Area,Bedrooms,Bathrooms,Floors,AccessWidth,FacadeWidth,LegalStatus,Furnishing,District,Province,Population,DistrictArea,CommuneCount,Distribute,GDP_USD
7.8,45.0,4.0,3.0,3.0,2.5,8.0,yes,no,hà đông,hà nội,397854.0,49.6,15.0,8.021,51.39
22.0,56.0,5.0,6.0,5.0,,,yes,yes,cầu giấy,hà nội,292536.0,12.4,8.0,23.516,51.39
19.9,200.0,18.0,18.0,4.0,7.0,12.0,yes,yes,gò vấp,hồ chí minh,676899.0,19.7,12.0,34.360,63.65
28.5,95.0,8.0,,5.0,,7.5,yes,yes,hai bà trưng,hà nội,303586.0,10.3,15.0,29.474,51.39
5.5,30.3,3.0,3.0,4.0,3.0,4.0,yes,yes,hai bà trưng,hà nội,303586.0,10.3,15.0,29.474,51.39
2.8,32.0,,,,5.0,5.3,yes,yes,gia lâm,hà nội,286102.0,116.7,17.0,2.452,51.39
9.3,157.8,8.0,8.0,,4.0,7.8,yes,no,thủ đức,hồ chí minh,1013795.0,211.6,34.0,4.791,63.65
4.5,60.0,3.0,4.0,3.0,12.0,4.0,yes,yes,dĩ an,bình dương,403760.0,60.1,7.0,6.718,19.28
6.4,72.0,4.0,5.0,3.0,,4.5,yes,yes,bình tân,hồ chí minh,784173.0,51.9,10.0,15.109,63.65
14.2,63.0,16.0,,7.0,,6.0,yes,yes,thanh xuân,hà nội,293524.0,9.1,9.0,32.255,51.39
12.6,40.0,5.0,6.0,6.0,6.0,5.0,yes,yes,đống đa,hà nội,371606.0,10.0,17.0,37.161,51.39
10.2,123.0,9.0,9.0,2.0,5.0,8.1,yes,no,bình thạnh,hồ chí minh,499164.0,20.8,15.0,23.998,63.65
5.5,127.4,4.0,3.0,3.0,8.0,,yes,yes,quận 12,hồ chí minh,620146.0,52.8,11.0,11.745,63.65
5.38,45.0,2.0,3.0,2.0,,5.0,yes,yes,quận 7,hồ chí minh,360155.0,35.7,10.0,10.088,63.65
12.9,50.0,4.0,,5.0,,4.0,yes,yes,hà đông,hà nội,397854.0,49.6,15.0,8.021,51.39
3.49,63.0,4.0,3.0,3.0,3.0,4.0,yes,yes,chương mỹ,hà nội,337326.0,237.4,30.0,1.421,51.39
31.6,80.75,6.0,5.0,5.0,12.0,4.75,yes,yes,quận 10,hồ chí minh,234819.0,5.7,11.0,41.196,63.65
7.5,40.0,4.0,5.0,4.0,3.5,8.0,yes,yes,phú nhuận,hồ chí minh,163961.0,4.9,11.0,33.461,63.65
16.0,232.6,3.0,,3.0,9.0,10.46,yes,no,nha trang,khánh hòa,422601.0,254.3,22.0,1.660,4.2
13.87,42.3,2.0,2.0,3.0,,,yes,no,đống đa,hà nội,371606.0,10.0,17.0,37.161,51.39
19.5,153.6,20.0,22.0,7.0,8.0,6.4,yes,yes,liên chiểu,đà nẵng,166832.0,80.9,5.0,2.060,5.42
8.95,50.0,5.0,6.0,4.0,5.0,4.0,yes,yes,bình thạnh,hồ chí minh,499164.0,20.8,15.0,23.998,63.65
5.3,33.2,4.0,3.0,4.0,2.4,4.0,yes,yes,thanh trì,hà nội,275745.0,63.5,16.0,4.342,51.39
4.45,33.0,3.0,3.0,3.0,3.5,3.0,yes,yes,gò vấp,hồ chí minh,676899.0,19.7,12.0,34.360,63.65
8.6,115.0,,,3.0,,5.5,yes,yes,tiên du,bắc ninh,195993.0,95.6,14.0,2.049,11.11
15.0,240.0,19.0,19.0,2.0,5.0,6.0,yes,no,bình tân,hồ chí minh,784173.0,51.9,10.0,15.109,63.65
13.3,73.0,7.0,7.0,5.0,6.0,6.0,yes,yes,tân bình,hồ chí minh,474792.0,22.4,15.0,21.196,63.65
6.6,30.0,3.0,4.0,5.0,2.0,4.0,yes,yes,cầu giấy,hà nội,292536.0,12.4,8.0,23.516,51.39
7.4,100.0,2.0,2.0,,7.0,5.0,yes,no,thủ đức,hồ chí minh,1013795.0,211.6,34.0,4.791,63.65
17.5,45.0,3.0,5.0,6.0,3.5,,yes,yes,cầu giấy,hà nội,292536.0,12.4,8.0,23.516,51.39
11.9,63.0,4.0,5.0,4.0,6.0,7.0,yes,no,tân bình,hồ chí minh,474792.0,22.4,15.0,21.196,63.65
4.35,32.0,4.0,3.0,5.0,,5.0,yes,yes,hoài đức,hà nội,262978.0,85.0,20.0,3.094,51.39
10.6,43.1,6.0,4.0,5.0,6.0,,yes,yes,hoàng mai,hà nội,506347.0,40.3,14.0,12.564,51.39
26.0,110.0,10.0,10.0,,,,yes,yes,ngũ hành sơn,đà nẵng,90352.0,40.2,4.0,2.248,5.42
8.2,96.0,4.0,3.0,3.0,8.0,8.0,yes,no,bình tân,hồ chí minh,784173.0,51.9,10.0,15.109,63.65
29.0,165.0,4.0,4.0,3.0,,,yes,yes,nam từ liêm,hà nội,269076.0,32.2,10.0,8.364,51.39
4.4,55.0,2.0,2.0,1.0,6.0,5.0,yes,yes,tân phú,hồ chí minh,485348.0,16.1,11.0,30.146,63.65
38.0,70.0,21.0,22.0,,,,yes,yes,đống đa,hà nội,371606.0,10.0,17.0,37.161,51.39
7.7,67.5,2.0,1.0,,8.0,4.5,yes,yes,quận 8,hồ chí minh,424667.0,19.2,10.0,22.118,63.65
23.4,223.0,6.0,4.0,,10.0,8.0,yes,yes,quận 7,hồ chí minh,360155.0,35.7,10.0,10.088,63.65
22.6,91.9,19.0,20.0,5.0,,4.43,yes,yes,bắc từ liêm,hà nội,340605.0,45.2,13.0,7.529,51.39
1.25,72.0,2.0,2.0,2.0,10.0,8.0,yes,yes,cần giuộc,long an,214914.0,215.1,15.0,999,6.74
9.0,58.0,2.0,2.0,2.0,6.0,,yes,yes,phú nhuận,hồ chí minh,163961.0,4.9,11.0,33.461,63.65
15.5,70.0,15.0,15.0,7.0,,5.0,yes,yes,nam từ liêm,hà nội,269076.0,32.2,10.0,8.364,51.39
8.6,33.0,3.0,4.0,6.0,2.8,,yes,yes,tây hồ,hà nội,160495.0,24.4,8.0,6.578,51.39
21.5,58.0,6.0,6.0,7.0,6.0,5.0,yes,yes,tây hồ,hà nội,160495.0,24.4,8.0,6.578,51.39
7.9,38.0,4.0,3.0,4.0,4.0,,yes,yes,thanh trì,hà nội,275745.0,63.5,16.0,4.342,51.39
14.5,56.0,8.0,,5.0,,5.5,yes,no,cầu giấy,hà nội,292536.0,12.4,8.0,23.516,51.39
0.0,2.6,3.0,3.0,,10.0,,yes,yes,diên khánh,khánh hòa,143211.0,337.6,17.0,424,4.2
7.9,43.6,2.0,2.0,2.0,6.0,3.0,yes,yes,quận 4,hồ chí minh,175329.0,4.2,10.0,41.745,63.65
1.38,270.0,10.0,1.0,1.0,8.0,9.0,yes,yes,bình chánh,hồ chí minh,705508.0,252.7,16.0,2.792,63.65
3.55,100.0,4.0,4.0,2.0,5.5,5.0,yes,no,liên chiểu,đà nẵng,166832.0,80.9,5.0,2.060,5.42
26.9,85.0,3.0,3.0,4.0,17.0,8.5,yes,yes,cầu giấy,hà nội,292536.0,12.4,8.0,23.516,51.39
5.3,33.2,4.0,3.0,4.0,2.4,4.0,yes,yes,thanh trì,hà nội,275745.0,63.5,16.0,4.342,51.39
8.95,50.0,5.0,6.0,4.0,5.0,4.0,yes,yes,bình thạnh,hồ chí minh,499164.0,20.8,15.0,23.998,63.65
13.0,52.0,4.0,3.0,4.0,,4.0,yes,yes,hà đông,hà nội,397854.0,49.6,15.0,8.021,51.39
6.9,44.0,6.0,4.0,4.0,2.0,2.0,yes,yes,đống đa,hà nội,371606.0,10.0,17.0,37.161,51.39
7.2,40.0,3.0,4.0,4.0,5.0,4.0,yes,yes,gò vấp,hồ chí minh,676899.0,19.7,12.0,34.360,63.65
6.5,52.8,1.0,1.0,1.0,7.0,4.0,yes,yes,thủ đức,hồ chí minh,1013795.0,211.6,34.0,4.791,63.65
23.5,80.0,7.0,7.0,7.0,4.0,8.0,yes,yes,ba đình,hà nội,221893.0,9.2,13.0,24.119,51.39
11.5,48.0,4.0,3.0,4.0,3.0,3.4,yes,yes,đống đa,hà nội,371606.0,10.0,17.0,37.161,51.39
4.55,100.0,3.0,2.0,2.0,7.5,5.0,yes,yes,ngũ hành sơn,đà nẵng,90352.0,40.2,4.0,2.248,5.42
27.35,95.5,7.0,5.0,4.0,11.5,4.85,yes,yes,thanh xuân,hà nội,293524.0,9.1,9.0,32.255,51.39
7.9,80.0,4.0,5.0,4.0,7.0,,yes,no,gò vấp,hồ chí minh,676899.0,19.7,12.0,34.360,63.65
5.79,44.6,3.0,3.0,2.0,3.5,4.0,yes,yes,quận 7,hồ chí minh,360155.0,35.7,10.0,10.088,63.65
25.0,70.7,20.0,20.0,7.0,,7.0,yes,yes,đống đa,hà nội,371606.0,10.0,17.0,37.161,51.39
6.2,45.0,4.0,4.0,4.0,,,yes,yes,bắc từ liêm,hà nội,340605.0,45.2,13.0,7.529,51.39
29.5,20.0,3.0,3.0,4.0,4.0,4.0,no,yes,thanh xuân,hà nội,293524.0,9.1,9.0,32.255,51.39
1.96,31.0,2.0,2.0,2.0,5.0,,no,yes,bình thạnh,hồ chí minh,499164.0,20.8,15.0,23.998,63.65
6.8,32.0,,,4.0,5.2,,yes,yes,tân bình,hồ chí minh,474792.0,22.4,15.0,21.196,63.65
23.5,111.2,3.0,4.0,3.0,5.0,,yes,yes,quận 1,hồ chí minh,142625.0,7.7,10.0,18.523,63.65
34.9,85.0,5.0,5.0,6.0,10.0,8.0,yes,yes,tây hồ,hà nội,160495.0,24.4,8.0,6.578,51.39
10.0,180.0,2.0,2.0,1.0,7.0,5.0,yes,no,thủ đức,hồ chí minh,1013795.0,211.6,34.0,4.791,63.65
20.0,80.0,4.0,3.0,4.0,8.0,5.3,yes,yes,đông anh,hà nội,405749.0,185.6,24.0,2.186,51.39
6.3,80.0,6.0,6.0,6.0,10.0,10.0,yes,no,thủ đức,hồ chí minh,1013795.0,211.6,34.0,4.791,63.65
8.95,46.0,4.0,5.0,6.0,2.8,6.2,yes,yes,long biên,hà nội,322549.0,59.8,13.0,5.394,51.39
8.2,63.0,4.0,3.0,3.0,16.0,4.2,yes,yes,nha trang,khánh hòa,422601.0,254.3,22.0,1.660,4.2
18.86,102.0,14.0,9.0,5.0,,5.5,yes,no,ba đình,hà nội,221893.0,9.2,13.0,24.119,51.39
9.0,60.0,4.0,3.0,3.0,6.0,4.8,yes,yes,long biên,hà nội,322549.0,59.8,13.0,5.394,51.39
4.79,52.7,2.0,2.0,2.0,,4.6,yes,no,quận 8,hồ chí minh,424667.0,19.2,10.0,22.118,63.65
5.85,31.0,3.0,3.0,5.0,6.0,4.0,yes,no,hoàng mai,hà nội,506347.0,40.3,14.0,12.564,51.39
1.85,12.0,2.0,1.0,2.0,3.0,,yes,no,quận 1,hồ chí minh,142625.0,7.7,10.0,18.523,63.65
28.0,87.0,10.0,11.0,6.0,2.0,8.0,yes,no,ba đình,hà nội,221893.0,9.2,13.0,24.119,51.39
3.7,40.0,3.0,3.0,3.0,2.5,10.0,no,yes,tây hồ,hà nội,160495.0,24.4,8.0,6.578,51.39
23.8,93.0,26.0,26.0,7.0,3.5,5.2,yes,yes,nam từ liêm,hà nội,269076.0,32.2,10.0,8.364,51.39
24.0,99.3,20.0,24.0,8.0,,7.0,yes,yes,tây hồ,hà nội,160495.0,24.4,8.0,6.578,51.39
8.8,100.0,5.0,6.0,4.0,10.5,,yes,no,cẩm lệ,đà nẵng,159295.0,35.8,6.0,4.450,5.42
7.5,40.0,5.0,4.0,5.0,8.0,3.9,yes,no,thanh trì,hà nội,275745.0,63.5,16.0,4.342,51.39
18.8,105.0,16.0,20.0,7.0,10.0,7.0,yes,no,gò vấp,hồ chí minh,676899.0,19.7,12.0,34.360,63.65
8.45,83.0,2.0,1.0,1.0,6.0,4.0,yes,no,tân bình,hồ chí minh,474792.0,22.4,15.0,21.196,63.65
110.0,600.0,80.0,80.0,8.0,10.0,20.0,yes,yes,bình thạnh,hồ chí minh,499164.0,20.8,15.0,23.998,63.65
5.8,76.4,2.0,1.0,1.0,2.0,6.0,no,yes,nam từ liêm,hà nội,269076.0,32.2,10.0,8.364,51.39
11.8,48.0,4.0,5.0,5.0,5.0,4.0,yes,yes,phú nhuận,hồ chí minh,163961.0,4.9,11.0,33.461,63.65
3.7,41.3,2.0,2.0,1.0,3.5,,yes,yes,gò vấp,hồ chí minh,676899.0,19.7,12.0,34.360,63.65
3.7,27.0,3.0,4.0,4.0,,,yes,yes,quận 1,hồ chí minh,142625.0,7.7,10.0,18.523,63.65
45.0,399.0,7.0,7.0,3.0,4.5,8.0,yes,yes,quận 3,hồ chí minh,190375.0,4.9,10.0,38.852,63.65
8.2,65.0,4.0,5.0,3.0,5.0,6.2,yes,yes,tân bình,hồ chí minh,474792.0,22.4,15.0,21.196,63.65
22.5,82.0,19.0,20.0,8.0,3.5,5.2,yes,yes,đống đa,hà nội,371606.0,10.0,17.0,37.161,51.39
17.9,81.0,6.0,4.0,5.0,5.0,6.8,yes,yes,thanh xuân,hà nội,293524.0,9.1,9.0,32.255,51.39
35.0,168.0,4.0,5.0,3.0,,,yes,yes,thủ đức,hồ chí minh,1013795.0,211.6,34.0,4.791,63.65
36.5,150.0,20.0,20.0,8.0,,,yes,yes,cầu giấy,hà nội,292536.0,12.4,8.0,23.516,51.39
13.8,73.0,6.0,7.0,5.0,3.0,4.1,yes,yes,hoàng mai,hà nội,506347.0,40.3,14.0,12.564,51.39
34.9,85.0,5.0,5.0,6.0,10.0,8.0,yes,yes,tây hồ,hà nội,160495.0,24.4,8.0,6.578,51.39
6.38,80.0,3.0,4.0,4.0,10.0,4.0,yes,yes,thủ đức,hồ chí minh,1013795.0,211.6,34.0,4.791,63.65
9.0,95.0,4.0,2.0,3.0,,5.0,yes,no,hà đông,hà nội,397854.0,49.6,15.0,8.021,51.39
13.0,80.0,4.0,4.0,3.0,6.0,,yes,no,gò vấp,hồ chí minh,676899.0,19.7,12.0,34.360,63.65
15.49,52.0,,,7.0,,5.0,yes,yes,đống đa,hà nội,371606.0,10.0,17.0,37.161,51.39
11.9,40.0,,,5.0,5.0,,yes,yes,hai bà trưng,hà nội,303586.0,10.3,15.0,29.474,51.39
6.35,100.0,4.0,4.0,2.0,4.0,5.0,yes,yes,thủ đức,hồ chí minh,1013795.0,211.6,34.0,4.791,63.65
8.0,53.9,2.0,1.0,1.0,,,yes,yes,quận 10,hồ chí minh,234819.0,5.7,11.0,41.196,63.65
15.5,80.0,2.0,2.0,3.0,,3.0,no,no,hai bà trưng,hà nội,303586.0,10.3,15.0,29.474,51.39
7.6,66.0,2.0,3.0,2.0,4.0,3.6,yes,no,phú nhuận,hồ chí minh,163961.0,4.9,11.0,33.461,63.65
17.2,85.2,21.0,21.0,7.0,4.0,4.5,yes,yes,nam từ liêm,hà nội,269076.0,32.2,10.0,8.364,51.39
2.85,26.0,1.0,,2.0,3.0,4.0,yes,yes,tân phú,hồ chí minh,485348.0,16.1,11.0,30.146,63.65
3.0,48.85,3.0,2.0,3.0,5.0,4.0,yes,yes,kiến an,hải phòng,118047.0,29.6,7.0,3.988,15.97
16.0,143.0,4.0,5.0,4.0,10.0,5.0,yes,no,quận 7,hồ chí minh,360155.0,35.7,10.0,10.088,63.65
12.0,36.0,4.0,5.0,6.0,9.0,4.0,yes,yes,cầu giấy,hà nội,292536.0,12.4,8.0,23.516,51.39
30.6,72.3,5.0,6.0,7.0,30.0,4.7,yes,yes,long biên,hà nội,322549.0,59.8,13.0,5.394,51.39
8.0,35.0,3.0,3.0,5.0,3.5,4.0,yes,yes,tây hồ,hà nội,160495.0,24.4,8.0,6.578,51.39
9.89,65.0,4.0,,5.0,5.5,4.0,yes,yes,ngô quyền,hải phòng,165309.0,11.3,8.0,14.629,15.97
10.8,76.0,15.0,15.0,6.0,,,yes,yes,hoài đức,hà nội,262978.0,85.0,20.0,3.094,51.39
4.35,52.0,2.0,,,,4.0,yes,yes,tân bình,hồ chí minh,474792.0,22.4,15.0,21.196,63.65
5.15,36.0,6.0,4.0,5.0,,3.4,yes,yes,hoài đức,hà nội,262978.0,85.0,20.0,3.094,51.39
4.35,90.0,3.0,3.0,3.0,14.0,4.7,yes,yes,hải an,hải phòng,144256.0,97.6,8.0,1.477,15.97
10.9,67.0,4.0,5.0,3.0,12.0,,yes,yes,bình thạnh,hồ chí minh,499164.0,20.8,15.0,23.998,63.65
30.85,68.0,9.0,9.0,8.0,8.0,5.5,yes,yes,cầu giấy,hà nội,292536.0,12.4,8.0,23.516,51.39
25.0,60.0,5.0,5.0,5.0,,5.0,yes,yes,thanh xuân,hà nội,293524.0,9.1,9.0,32.255,51.39
5.5,35.0,4.0,4.0,5.0,3.5,5.0,yes,yes,bắc từ liêm,hà nội,340605.0,45.2,13.0,7.529,51.39
4.98,60.0,2.0,2.0,,5.0,6.0,yes,yes,thủ đức,hồ chí minh,1013795.0,211.6,34.0,4.791,63.65
24.0,50.0,6.0,6.0,7.0,4.0,5.0,no,no,tây hồ,hà nội,160495.0,24.4,8.0,6.578,51.39
15.2,50.0,8.0,7.0,7.0,11.5,4.0,yes,yes,hà đông,hà nội,397854.0,49.6,15.0,8.021,51.39
7.85,36.0,3.0,4.0,,,3.9,yes,yes,hoàng mai,hà nội,506347.0,40.3,14.0,12.564,51.39
2.9,26.0,2.0,2.0,1.0,3.0,5.0,yes,no,quận 7,hồ chí minh,360155.0,35.7,10.0,10.088,63.65
2.9,26.0,2.0,2.0,1.0,3.0,5.0,yes,no,quận 7,hồ chí minh,360155.0,35.7,10.0,10.088,63.65
1.5,180.0,4.0,3.0,2.0,12.0,29.0,yes,yes,bình chánh,hồ chí minh,705508.0,252.7,16.0,2.792,63.65
12.9,100.0,21.0,,5.0,,,yes,yes,gò vấp,hồ chí minh,676899.0,19.7,12.0,34.360,63.65
5.68,86.0,4.0,2.0,2.0,,,yes,yes,sơn trà,đà nẵng,157415.0,63.4,6.0,2.483,5.42
15.0,44.0,,,1.0,12.0,4.0,yes,no,hà đông,hà nội,397854.0,49.6,15.0,8.021,51.39
8.5,35.0,4.0,4.0,6.0,,62.0,yes,yes,cầu giấy,hà nội,292536.0,12.4,8.0,23.516,51.39
12.5,45.0,4.0,6.0,6.0,4.0,7.0,yes,yes,thanh xuân,hà nội,293524.0,9.1,9.0,32.255,51.39
7.5,70.0,3.0,4.0,3.0,7.0,4.0,yes,yes,bình tân,hồ chí minh,784173.0,51.9,10.0,15.109,63.65
13.9,60.0,9.0,9.0,5.0,10.0,4.0,yes,yes,quận 7,hồ chí minh,360155.0,35.7,10.0,10.088,63.65
5.45,30.0,3.0,4.0,4.0,5.0,6.15,yes,no,hoài đức,hà nội,262978.0,85.0,20.0,3.094,51.39
8.5,34.0,4.0,5.0,6.0,5.0,5.0,yes,yes,cầu giấy,hà nội,292536.0,12.4,8.0,23.516,51.39
8.5,34.0,4.0,5.0,6.0,4.0,5.0,yes,yes,cầu giấy,hà nội,292536.0,12.4,8.0,23.516,51.39
7.5,30.0,2.0,2.0,3.0,3.5,4.3,yes,yes,ba đình,hà nội,221893.0,9.2,13.0,24.119,51.39
9.9,115.0,3.0,3.0,1.0,8.0,4.1,yes,no,tân bình,hồ chí minh,474792.0,22.4,15.0,21.196,63.65
11.45,50.0,4.0,6.0,8.0,6.0,5.0,yes,yes,long biên,hà nội,322549.0,59.8,13.0,5.394,51.39
105.0,145.0,7.0,7.0,7.0,8.0,7.9,yes,yes,cầu giấy,hà nội,292536.0,12.4,8.0,23.516,51.39
18.5,118.0,5.0,4.0,4.0,6.0,4.6,yes,yes,thanh xuân,hà nội,293524.0,9.1,9.0,32.255,51.39
11.8,92.9,,,,5.0,4.5,yes,yes,bình thạnh,hồ chí minh,499164.0,20.8,15.0,23.998,63.65
3.1,90.0,3.0,3.0,1.0,14.0,14.0,yes,yes,cần giuộc,long an,214914.0,215.1,15.0,999,6.74
9.35,49.0,4.0,3.0,4.0,2.0,,yes,yes,hoàng mai,hà nội,506347.0,40.3,14.0,12.564,51.39
3.15,32.0,2.0,2.0,2.0,5.0,4.0,yes,yes,quận 12,hồ chí minh,620146.0,52.8,11.0,11.745,63.65
3.2,30.0,3.0,3.0,3.0,4.0,5.5,yes,yes,hà đông,hà nội,397854.0,49.6,15.0,8.021,51.39
7.2,100.0,6.0,3.0,4.0,,8.0,yes,yes,bình tân,hồ chí minh,784173.0,51.9,10.0,15.109,63.65
4.0,40.0,3.0,2.0,4.0,5.0,4.0,yes,yes,đông anh,hà nội,405749.0,185.6,24.0,2.186,51.39
15.9,71.0,4.0,3.0,3.0,6.0,4.0,yes,no,phú nhuận,hồ chí minh,163961.0,4.9,11.0,33.461,63.65
11.0,74.0,6.0,4.0,4.0,3.3,6.0,yes,yes,đống đa,hà nội,371606.0,10.0,17.0,37.161,51.39
12.2,80.0,3.0,4.0,3.0,,,yes,no,tân phú,hồ chí minh,485348.0,16.1,11.0,30.146,63.65
7.2,200.1,3.0,1.0,2.0,,4.69,yes,yes,quốc oai,hà nội,194412.0,151.1,17.0,1.287,51.39
9.8,50.0,12.0,12.0,7.0,3.0,4.0,yes,yes,thanh xuân,hà nội,293524.0,9.1,9.0,32.255,51.39
13.9,146.0,5.0,6.0,4.0,,,yes,yes,quận 8,hồ chí minh,424667.0,19.2,10.0,22.118,63.65
15.7,75.0,3.0,3.0,3.0,8.0,4.2,yes,yes,hà đông,hà nội,397854.0,49.6,15.0,8.021,51.39
20.0,120.0,23.0,23.0,,,8.0,yes,yes,bình thạnh,hồ chí minh,499164.0,20.8,15.0,23.998,63.65
8.1,150.0,5.0,5.0,2.0,5.0,6.04,yes,no,vũng tàu,bà rịa vũng tàu,357124.0,150.4,17.0,2.374,16.79
2.5,26.0,4.0,4.0,4.0,2.5,3.5,yes,yes,hoàng mai,hà nội,506347.0,40.3,14.0,12.564,51.39
3.95,44.0,3.0,3.0,4.0,5.3,4.0,yes,yes,chương mỹ,hà nội,337326.0,237.4,30.0,1.421,51.39
6.66,30.0,3.0,4.0,5.0,4.0,4.65,yes,yes,long biên,hà nội,322549.0,59.8,13.0,5.394,51.39
8.5,40.0,3.0,5.0,6.0,,,yes,no,cầu giấy,hà nội,292536.0,12.4,8.0,23.516,51.39
17.5,50.0,4.0,4.0,5.0,5.0,5.2,yes,yes,đống đa,hà nội,371606.0,10.0,17.0,37.161,51.39
6.6,60.0,4.0,4.0,3.0,5.0,,yes,yes,thủ đức,hồ chí minh,1013795.0,211.6,34.0,4.791,63.65
5.9,90.0,5.0,3.0,3.0,5.5,5.0,yes,yes,liên chiểu,đà nẵng,166832.0,80.9,5.0,2.060,5.42
6.8,65.0,1.0,1.0,2.0,3.0,5.0,yes,yes,quận 4,hồ chí minh,175329.0,4.2,10.0,41.745,63.65
18.0,172.5,5.0,5.0,3.0,12.0,10.0,yes,yes,thủ đức,hồ chí minh,1013795.0,211.6,34.0,4.791,63.65
