Price,Area,Bedrooms,Bathrooms,Floors,AccessWidth,FacadeWidth,LegalStatus,Furnishing,District,Province
13.75,60.0,10,,6,3.0,5.0,yes,no,Thanh Xuân, Hà Nội
11.0,62.4,7,5,4,2.0,2.0,yes,yes,Hoàng Mai, Hà Nội
5.99,100.0,4,3,2,4.0,,yes,no,Quận 12, Hồ Chí Minh
7.8,45.0,4,3,3,2.5,8.0,yes,no,Hà Đông, Hà Nội
22.0,56.0,5,6,5,,,yes,yes,Cầu Giấy, Hà Nội
19.9,200.0,18,18,4,7.0,12.0,yes,yes,Gò Vấp, Hồ Chí Minh
28.5,95.0,8,,5,,7.5,yes,yes,Hai Bà Trưng, Hà Nội
5.5,30.3,3,3,4,3.0,4.0,yes,yes,Hai Bà Trưng, Hà Nội
2.8,32.0,,,,5.0,5.3,yes,yes,Gia Lâm, Hà Nội
9.3,157.8,8,8,,4.0,7.8,yes,no,Thủ Đức, Hồ Chí Minh
4.5,60.0,3,4,3,12.0,4.0,yes,yes,Dĩ An, Bình Dương
6.4,72.0,4,5,3,,4.5,yes,yes,Bình Tân, Hồ Chí Minh
14.2,63.0,16,,7,,6.0,yes,yes,Thanh Xuân, Hà Nội
12.6,40.0,5,6,6,6.0,5.0,yes,yes,Đống Đa, Hà Nội
10.2,123.0,9,9,2,5.0,8.1,yes,no,Bình Thạnh, Hồ Chí Minh
5.5,127.4,4,3,3,8.0,,yes,yes,Quận 12, Hồ Chí Minh
5.38,45.0,2,3,2,,5.0,yes,yes,Quận 7, Hồ Chí Minh
12.9,50.0,4,,5,,4.0,yes,yes,Hà Đông, Hà Nội
3.49,63.0,4,3,3,3.0,4.0,yes,yes,Chương Mỹ, Hà Nội
31.6,80.75,6,5,5,12.0,4.75,yes,yes,Quận 10, Hồ Chí Minh
7.5,40.0,4,5,4,3.5,8.0,yes,yes,Phú Nhuận, Hồ Chí Minh
16.0,232.6,3,,3,9.0,10.46,yes,no,Nha Trang, Khánh Hòa
13.87,42.3,2,2,3,,,yes,no,Đống Đa, Hà Nội
19.5,153.6,20,22,7,8.0,6.4,yes,yes,Liên Chiểu, Đà Nẵng
8.95,50.0,5,6,4,5.0,4.0,yes,yes,Bình Thạnh, Hồ Chí Minh
5.3,33.2,4,3,4,2.4,4.0,yes,yes,Thanh Trì, Hà Nội
4.45,33.0,3,3,3,3.5,3.0,yes,yes,Gò Vấp, Hồ Chí Minh
8.6,115.0,,,3,,5.5,yes,yes,Tiên Du, Bắc Ninh
15.0,240.0,19,19,2,5.0,6.0,yes,no,Bình Tân, Hồ Chí Minh
13.3,73.0,7,7,5,6.0,6.0,yes,yes,Tân Bình, Hồ Chí Minh
6.6,30.0,3,4,5,2.0,4.0,yes,yes,Cầu Giấy, Hà Nội
7.4,100.0,2,2,,7.0,5.0,yes,no,Thủ Đức, Hồ Chí Minh
17.5,45.0,3,5,6,3.5,,yes,yes,Cầu Giấy, Hà Nội
11.9,63.0,4,5,4,6.0,7.0,yes,no,Tân Bình, Hồ Chí Minh
4.35,32.0,4,3,5,,5.0,yes,yes,Hoài Đức, Hà Nội
10.6,43.1,6,4,5,6.0,,yes,yes,Hoàng Mai, Hà Nội
26.0,110.0,10,10,,,,yes,yes,Ngũ Hành Sơn, Đà Nẵng
8.2,96.0,4,3,3,8.0,8.0,yes,no,Bình Tân, Hồ Chí Minh
29.0,165.0,4,4,3,,,yes,yes,Nam Từ Liêm, Hà Nội
4.4,55.0,2,2,1,6.0,5.0,yes,yes,Tân Phú, Hồ Chí Minh
38.0,70.0,21,22,,,,yes,yes,Đống Đa, Hà Nội
7.7,67.5,2,1,,8.0,4.5,yes,yes,Quận 8, Hồ Chí Minh
23.4,223.0,6,4,,10.0,8.0,yes,yes,Quận 7, Hồ Chí Minh
22.6,91.9,19,20,5,,4.43,yes,yes,Bắc Từ Liêm, Hà Nội
1.25,72.0,2,2,2,10.0,8.0,yes,yes,Cần Giuộc, Long An
9.0,58.0,2,2,2,6.0,,yes,yes,Phú Nhuận, Hồ Chí Minh
15.5,70.0,15,15,7,,5.0,yes,yes,Nam Từ Liêm, Hà Nội
8.6,33.0,3,4,6,2.8,,yes,yes,Tây Hồ, Hà Nội
21.5,58.0,6,6,7,6.0,5.0,yes,yes,Tây Hồ, Hà Nội
7.9,38.0,4,3,4,4.0,,yes,yes,Thanh Trì, Hà Nội
14.5,56.0,8,,5,,5.5,yes,no,Cầu Giấy, Hà Nội
0.0,2.6,3,3,,10.0,,yes,yes,Diên Khánh, Khánh Hòa
7.9,43.6,2,2,2,6.0,3.0,yes,yes,Quận 4, Hồ Chí Minh
1.38,270.0,10,1,1,8.0,9.0,yes,yes,Bình Chánh, Hồ Chí Minh
3.55,100.0,4,4,2,5.5,5.0,yes,no,Liên Chiểu, Đà Nẵng
26.9,85.0,3,3,4,17.0,8.5,yes,yes,Cầu Giấy, Hà Nội
5.3,33.2,4,3,4,2.4,4.0,yes,yes,Thanh Trì, Hà Nội
8.95,50.0,5,6,4,5.0,4.0,yes,yes,Bình Thạnh, Hồ Chí Minh
13.0,52.0,4,3,4,,4.0,yes,yes,Hà Đông, Hà Nội
6.9,44.0,6,4,4,2.0,2.0,yes,yes,Đống Đa, Hà Nội
7.2,40.0,3,4,4,5.0,4.0,yes,yes,Gò Vấp, Hồ Chí Minh
6.5,52.8,1,1,1,7.0,4.0,yes,yes,Thủ Đức, Hồ Chí Minh
23.5,80.0,7,7,7,4.0,8.0,yes,yes,Ba Đình, Hà Nội
11.5,48.0,4,3,4,3.0,3.4,yes,yes,Đống Đa, Hà Nội
4.55,100.0,3,2,2,7.5,5.0,yes,yes,Ngũ Hành Sơn, Đà Nẵng
27.35,95.5,7,5,4,11.5,4.85,yes,yes,Thanh Xuân, Hà Nội
7.9,80.0,4,5,4,7.0,,yes,no,Gò Vấp, Hồ Chí Minh
5.79,44.6,3,3,2,3.5,4.0,yes,yes,Quận 7, Hồ Chí Minh
25.0,70.7,20,20,7,,7.0,yes,yes,Đống Đa, Hà Nội
6.2,45.0,4,4,4,,,yes,yes,Bắc Từ Liêm, Hà Nội
29.5,20.0,3,3,4,4.0,4.0,no,yes,Thanh Xuân, Hà Nội
1.96,31.0,2,2,2,5.0,,no,yes,Bình Thạnh, Hồ Chí Minh
6.8,32.0,,,4,5.2,,yes,yes,Tân Bình, Hồ Chí Minh
23.5,111.2,3,4,3,5.0,,yes,yes,Quận 1, Hồ Chí Minh
34.9,85.0,5,5,6,10.0,8.0,yes,yes,Tây Hồ, Hà Nội
10.0,180.0,2,2,1,7.0,5.0,yes,no,Thủ Đức, Hồ Chí Minh
20.0,80.0,4,3,4,8.0,5.3,yes,yes,Đông Anh, Hà Nội
6.3,80.0,6,6,6,10.0,10.0,yes,no,Thủ Đức, Hồ Chí Minh
8.95,46.0,4,5,6,2.8,6.2,yes,yes,Long Biên, Hà Nội
8.2,63.0,4,3,3,16.0,4.2,yes,yes,Nha Trang, Khánh Hòa
18.86,102.0,14,9,5,,5.5,yes,no,Ba Đình, Hà Nội
9.0,60.0,4,3,3,6.0,4.8,yes,yes,Long Biên, Hà Nội
4.79,52.7,2,2,2,,4.6,yes,no,Quận 8, Hồ Chí Minh
5.85,31.0,3,3,5,6.0,4.0,yes,no,Hoàng Mai, Hà Nội
1.85,12.0,2,1,2,3.0,,yes,no,Quận 1, Hồ Chí Minh
28.0,87.0,10,11,6,2.0,8.0,yes,no,Ba Đình, Hà Nội
3.7,40.0,3,3,3,2.5,10.0,no,yes,Tây Hồ, Hà Nội
23.8,93.0,26,26,7,3.5,5.2,yes,yes,Nam Từ Liêm, Hà Nội
24.0,99.3,20,24,8,,7.0,yes,yes,Tây Hồ, Hà Nội
8.8,100.0,5,6,4,10.5,,yes,no,Cẩm Lệ, Đà Nẵng
7.5,40.0,5,4,5,8.0,3.9,yes,no,Thanh Trì, Hà Nội
18.8,105.0,16,20,7,10.0,7.0,yes,no,Gò Vấp, Hồ Chí Minh
8.45,83.0,2,1,1,6.0,4.0,yes,no,Tân Bình, Hồ Chí Minh
110.0,600.0,80,80,8,10.0,20.0,yes,yes,Bình Thạnh, Hồ Chí Minh
5.8,76.4,2,1,1,2.0,6.0,no,yes,Nam Từ Liêm, Hà Nội
11.8,48.0,4,5,5,5.0,4.0,yes,yes,Phú Nhuận, Hồ Chí Minh
3.7,41.3,2,2,1,3.5,,yes,yes,Gò Vấp, Hồ Chí Minh
3.7,27.0,3,4,4,,,yes,yes,Quận 1, Hồ Chí Minh
45.0,399.0,7,7,3,4.5,8.0,yes,yes,Quận 3, Hồ Chí Minh
8.2,65.0,4,5,3,5.0,6.2,yes,yes,Tân Bình, Hồ Chí Minh
22.5,82.0,19,20,8,3.5,5.2,yes,yes,Đống Đa, Hà Nội
17.9,81.0,6,4,5,5.0,6.8,yes,yes,Thanh Xuân, Hà Nội
35.0,168.0,4,5,3,,,yes,yes,Quận 2, Hồ Chí Minh
36.5,150.0,20,20,8,,,yes,yes,Cầu Giấy, Hà Nội
13.8,73.0,6,7,5,3.0,4.1,yes,yes,Hoàng Mai, Hà Nội
34.9,85.0,5,5,6,10.0,8.0,yes,yes,Tây Hồ, Hà Nội
6.38,80.0,3,4,4,10.0,4.0,yes,yes,Thủ Đức, Hồ Chí Minh
9.0,95.0,4,2,3,,5.0,yes,no,Hà Đông, Hà Nội
13.0,80.0,4,4,3,6.0,,yes,no,Gò Vấp, Hồ Chí Minh
15.49,52.0,,,7,,5.0,yes,yes,Đống Đa, Hà Nội
11.9,40.0,,,5,5.0,,yes,yes,Hai Bà Trưng, Hà Nội
6.35,100.0,4,4,2,4.0,5.0,yes,yes,Thủ Đức, Hồ Chí Minh
8.0,53.9,2,1,1,,,yes,yes,Quận 10, Hồ Chí Minh
15.5,80.0,2,2,3,,3.0,no,no,Hai Bà Trưng, Hà Nội
7.6,66.0,2,3,2,4.0,3.6,yes,no,Phú Nhuận, Hồ Chí Minh
17.2,85.2,21,21,7,4.0,4.5,yes,yes,Nam Từ Liêm, Hà Nội
2.85,26.0,1,,2,3.0,4.0,yes,yes,Tân Phú, Hồ Chí Minh
3.0,48.85,3,2,3,5.0,4.0,yes,yes,Kiến An, Hải Phòng
16.0,143.0,4,5,4,10.0,5.0,yes,no,Quận 7, Hồ Chí Minh
12.0,36.0,4,5,6,9.0,4.0,yes,yes,Cầu Giấy, Hà Nội
30.6,72.3,5,6,7,30.0,4.7,yes,yes,Long Biên, Hà Nội
8.0,35.0,3,3,5,3.5,4.0,yes,yes,Tây Hồ, Hà Nội
9.89,65.0,4,,5,5.5,4.0,yes,yes,Ngô Quyền, Hải Phòng
10.8,76.0,15,15,6,,,yes,yes,Hoài Đức, Hà Nội
4.35,52.0,2,,,,4.0,yes,yes,Tân Bình, Hồ Chí Minh
5.15,36.0,6,4,5,,3.4,yes,yes,Hoài Đức, Hà Nội
4.35,90.0,3,3,3,14.0,4.7,yes,yes,Hải An, Hải Phòng
10.9,67.0,4,5,3,12.0,,yes,yes,Bình Thạnh, Hồ Chí Minh
30.85,68.0,9,9,8,8.0,5.5,yes,yes,Cầu Giấy, Hà Nội
25.0,60.0,5,5,5,,5.0,yes,yes,Thanh Xuân, Hà Nội
5.5,35.0,4,4,5,3.5,5.0,yes,yes,Bắc Từ Liêm, Hà Nội
4.98,60.0,2,2,,5.0,6.0,yes,yes,Quận 2, Hồ Chí Minh
24.0,50.0,6,6,7,4.0,5.0,no,no,Tây Hồ, Hà Nội
15.2,50.0,8,7,7,11.5,4.0,yes,yes,Hà Đông, Hà Nội
7.85,36.0,3,4,,,3.9,yes,yes,Hoàng Mai, Hà Nội
2.9,26.0,2,2,1,3.0,5.0,yes,no,Quận 7, Hồ Chí Minh
2.9,26.0,2,2,1,3.0,5.0,yes,no,Quận 7, Hồ Chí Minh
1.5,180.0,4,3,2,12.0,29.0,yes,yes,Bình Chánh, Hồ Chí Minh
12.9,100.0,21,,5,,,yes,yes,Gò Vấp, Hồ Chí Minh
5.68,86.0,4,2,2,,,yes,yes,Sơn Trà, Đà Nẵng
15.0,44.0,,,1,12.0,4.0,yes,no,Hà Đông, Hà Nội
8.5,35.0,4,4,6,,62.0,yes,yes,Cầu Giấy, Hà Nội
12.5,45.0,4,6,6,4.0,7.0,yes,yes,Thanh Xuân, Hà Nội
7.5,70.0,3,4,3,7.0,4.0,yes,yes,Bình Tân, Hồ Chí Minh
13.9,60.0,9,9,5,10.0,4.0,yes,yes,Quận 7, Hồ Chí Minh
5.45,30.0,3,4,4,5.0,6.15,yes,no,Hoài Đức, Hà Nội
8.5,34.0,4,5,6,5.0,5.0,yes,yes,Cầu Giấy, Hà Nội
8.5,34.0,4,5,6,4.0,5.0,yes,yes,Cầu Giấy, Hà Nội
7.5,30.0,2,2,3,3.5,4.3,yes,yes,Ba Đình, Hà Nội
9.9,115.0,3,3,1,8.0,4.1,yes,no,Tân Bình, Hồ Chí Minh
11.45,50.0,4,6,8,6.0,5.0,yes,yes,Long Biên, Hà Nội
105.0,145.0,7,7,7,8.0,7.9,yes,yes,Cầu Giấy, Hà Nội
18.5,118.0,5,4,4,6.0,4.6,yes,yes,Thanh Xuân, Hà Nội
11.8,92.9,,,,5.0,4.5,yes,yes,Bình Thạnh, Hồ Chí Minh
3.1,90.0,3,3,1,14.0,14.0,yes,yes,Cần Giuộc, Long An
9.35,49.0,4,3,4,2.0,,yes,yes,Hoàng Mai, Hà Nội
3.15,32.0,2,2,2,5.0,4.0,yes,yes,Quận 12, Hồ Chí Minh
3.2,30.0,3,3,3,4.0,5.5,yes,yes,Hà Đông, Hà Nội
7.2,100.0,6,3,4,,8.0,yes,yes,Bình Tân, Hồ Chí Minh
4.0,40.0,3,2,4,5.0,4.0,yes,yes,Đông Anh, Hà Nội
15.9,71.0,4,3,3,6.0,4.0,yes,no,Phú Nhuận, Hồ Chí Minh
11.0,74.0,6,4,4,3.3,6.0,yes,yes,Đống Đa, Hà Nội
12.2,80.0,3,4,3,,,yes,no,Tân Phú, Hồ Chí Minh
7.2,200.1,3,1,2,,4.69,yes,yes,Quốc Oai, Hà Nội
9.8,50.0,12,12,7,3.0,4.0,yes,yes,Thanh Xuân, Hà Nội
13.9,146.0,5,6,4,,,yes,yes,Quận 8, Hồ Chí Minh
15.7,75.0,3,3,3,8.0,4.2,yes,yes,Hà Đông, Hà Nội
20.0,120.0,23,23,,,8.0,yes,yes,Bình Thạnh, Hồ Chí Minh
8.1,150.0,5,5,2,5.0,6.04,yes,no,Vũng Tàu, Bà Rịa Vũng Tàu
2.5,26.0,4,4,4,2.5,3.5,yes,yes,Hoàng Mai, Hà Nội
3.95,44.0,3,3,4,5.3,4.0,yes,yes,Chương Mỹ, Hà Nội
6.66,30.0,3,4,5,4.0,4.65,yes,yes,Long Biên, Hà Nội
8.5,40.0,3,5,6,,,yes,no,Cầu Giấy, Hà Nội
17.5,50.0,4,4,5,5.0,5.2,yes,yes,Đống Đa, Hà Nội
6.6,60.0,4,4,3,5.0,,yes,yes,Thủ Đức, Hồ Chí Minh
5.9,90.0,5,3,3,5.5,5.0,yes,yes,Liên Chiểu, Đà Nẵng
6.8,65.0,1,1,2,3.0,5.0,yes,yes,Quận 4, Hồ Chí Minh
18.0,172.5,5,5,3,12.0,10.0,yes,yes,Quận 9, Hồ Chí Minh
9.5,54.5,4,5,4,,4.0,yes,no,Thủ Đức, Hồ Chí Minh
63.0,410.0,1,1,1,,15.0,yes,yes,Bình Thạnh, Hồ Chí Minh
11.8,55.0,6,4,6,3.0,4.0,yes,no,Hoàng Mai, Hà Nội
22.7,95.0,27,,7,,6.0,yes,yes,Hoàng Mai, Hà Nội
13.6,48.0,4,4,5,3.0,4.5,yes,no,Cầu Giấy, Hà Nội
3.45,32.8,5,3,4,3.0,,yes,yes,Hà Đông, Hà Nội
13.5,50.0,4,4,5,,,yes,no,Cầu Giấy, Hà Nội
11.2,48.0,5,3,5,3.0,4.0,yes,yes,Long Biên, Hà Nội
7.85,172.0,10,10,5,6.0,5.5,yes,yes,Bình Tân, Hồ Chí Minh
11.7,46.0,4,3,3,5.0,4.0,yes,yes,Hà Đông, Hà Nội
4.98,21.0,2,2,4,8.0,3.5,yes,yes,Đống Đa, Hà Nội
5.4,70.0,4,3,3,,4.0,yes,no,Quận 9, Hồ Chí Minh
21.0,80.0,6,4,5,15.0,4.0,yes,yes,Hai Bà Trưng, Hà Nội
4.75,50.0,4,4,3,,,yes,no,Quận 9, Hồ Chí Minh
23.8,300.0,55,55,4,4.0,9.2,yes,yes,Bình Tân, Hồ Chí Minh
3.0,40.0,3,2,3,,,yes,no,Chương Mỹ, Hà Nội
15.9,94.0,8,8,5,5.0,4.0,yes,yes,Thanh Xuân, Hà Nội
22.8,60.0,6,4,5,6.0,5.4,yes,no,Ba Đình, Hà Nội
12.7,68.0,4,2,3,,,yes,yes,Thanh Xuân, Hà Nội
5.65,30.0,4,4,5,7.0,4.0,yes,no,Thanh Trì, Hà Nội
9.86,72.0,5,5,4,5.0,4.0,yes,yes,Gò Vấp, Hồ Chí Minh
6.95,30.0,4,3,4,2.0,3.2,yes,yes,Ba Đình, Hà Nội
22.8,60.0,6,4,5,6.0,5.4,yes,no,Ba Đình, Hà Nội
15.9,94.0,8,8,5,5.0,4.0,yes,yes,Thanh Xuân, Hà Nội
12.7,68.0,4,2,3,,,yes,yes,Thanh Xuân, Hà Nội
5.65,30.0,4,4,5,7.0,4.0,yes,no,Thanh Trì, Hà Nội
9.86,72.0,5,5,4,5.0,4.0,yes,yes,Gò Vấp, Hồ Chí Minh
6.95,30.0,4,3,4,2.0,3.2,yes,yes,Ba Đình, Hà Nội
14.9,60.0,14,14,6,4.0,6.0,yes,yes,Hai Bà Trưng, Hà Nội
7.9,50.0,4,5,4,5.0,5.0,yes,no,Phú Nhuận, Hồ Chí Minh
6.25,33.0,4,3,4,1.5,3.5,yes,yes,Hai Bà Trưng, Hà Nội
2.35,40.0,3,3,3,,,yes,yes,Thanh Oai, Hà Nội
8.8,42.0,5,3,5,3.5,3.8,yes,yes,Hoàng Mai, Hà Nội
10.2,38.0,3,4,6,,4.8,yes,yes,Hà Đông, Hà Nội
11.0,53.0,7,7,5,13.0,5.0,yes,no,Phú Nhuận, Hồ Chí Minh
20.0,60.0,,,,8.0,6.0,yes,yes,Đống Đa, Hà Nội
28.0,100.0,4,4,5,7.0,6.0,yes,yes,Long Biên, Hà Nội
16.0,65.0,5,4,5,4.0,4.2,yes,no,Cầu Giấy, Hà Nội
4.65,80.0,5,3,2,,,yes,no,Thủ Đức, Hồ Chí Minh
12.75,46.0,4,4,7,4.5,4.1,yes,yes,Long Biên, Hà Nội
11.4,57.0,4,3,4,4.0,3.75,yes,yes,Hai Bà Trưng, Hà Nội
7.9,33.0,3,4,6,3.5,3.6,yes,no,Hoàng Mai, Hà Nội
5.74,30.0,3,4,5,3.0,3.0,yes,yes,Hoàng Mai, Hà Nội
23.5,48.0,,,7,,3.8,yes,yes,Ba Đình, Hà Nội
6.4,31.0,3,4,5,3.0,3.8,yes,yes,Long Biên, Hà Nội
20.0,50.0,,,5,6.0,4.0,yes,no,Thanh Xuân, Hà Nội
12.9,76.0,3,4,4,,,yes,yes,Hoàng Mai, Hà Nội
8.3,50.0,3,2,3,6.0,4.0,yes,yes,Quận 10, Hồ Chí Minh
33.0,90.0,3,3,4,6.0,4.2,yes,yes,Tây Hồ, Hà Nội
7.9,84.0,4,5,3,6.0,,yes,yes,Tân Phú, Hồ Chí Minh
14.5,60.0,17,17,7,2.5,,yes,yes,Thanh Trì, Hà Nội
6.8,32.0,3,4,5,3.0,4.0,yes,yes,Hoàng Mai, Hà Nội
5.3,243.0,5,1,1,6.0,6.0,yes,yes,Đức Trọng, Lâm Đồng
7.3,27.0,4,5,4,2.5,6.3,yes,yes,Ba Đình, Hà Nội
44.4,144.0,33,33,7,,,yes,yes,Tân Bình, Hồ Chí Minh
6.8,41.2,6,3,5,3.0,6.84,yes,yes,Thanh Trì, Hà Nội
24.3,50.0,4,5,7,4.0,5.6,yes,yes,Tây Hồ, Hà Nội
19.5,153.0,7,5,3,12.0,8.5,yes,yes,Tân Phú, Hồ Chí Minh
5.6,50.0,4,4,3,8.0,5.0,yes,yes,Nhà Bè, Hồ Chí Minh
9.6,35.0,3,4,5,5.0,3.5,yes,yes,Bắc Từ Liêm, Hà Nội
7.8,37.0,,,6,,4.0,yes,yes,Cầu Giấy, Hà Nội
4.5,560.0,12,,,2.0,22.0,yes,yes,Chí Linh, Hải Dương
9.3,76.0,2,2,1,13.0,4.0,yes,no,Tân Phú, Hồ Chí Minh
32.0,80.0,,,8,30.0,6.0,yes,no,Cầu Giấy, Hà Nội
30.0,100.0,5,5,5,8.0,6.0,yes,yes,Cầu Giấy, Hà Nội
7.6,40.0,2,2,3,3.0,,yes,no,Ba Đình, Hà Nội
10.19,37.0,4,4,6,15.0,5.0,yes,yes,Hà Đông, Hà Nội
3.8,33.0,2,2,2,,,yes,no,Gò Vấp, Hồ Chí Minh
4.3,76.0,2,1,2,5.0,4.0,yes,no,Bình Tân, Hồ Chí Minh
2.45,40.0,4,3,4,3.0,,yes,yes,Hải An, Hải Phòng
9.8,60.0,6,5,5,3.0,6.0,yes,yes,Thanh Xuân, Hà Nội
4.6,60.0,4,3,4,6.0,4.0,yes,yes,Hải An, Hải Phòng
9.5,652.0,3,4,1,12.0,18.0,yes,yes,Long Đất, Bà Rịa Vũng Tàu
12.5,38.0,4,4,6,6.0,,yes,yes,Long Biên, Hà Nội
7.38,30.0,5,6,4,2.0,4.0,yes,yes,Thanh Xuân, Hà Nội
20.5,100.0,35,35,9,,6.0,yes,yes,Thanh Trì, Hà Nội
4.2,36.0,3,2,,5.0,4.0,yes,yes,Tân Phú, Hồ Chí Minh
10.9,44.0,4,4,5,5.0,8.0,yes,yes,Long Biên, Hà Nội
1.76,100.0,4,3,2,10.0,5.0,yes,yes,Cần Giuộc, Long An
9.6,42.0,4,5,6,4.0,4.0,yes,no,Thanh Xuân, Hà Nội
4.8,87.0,2,1,,10.0,5.0,yes,no,Quận 12, Hồ Chí Minh
4.9,369.0,2,1,1,7.0,8.2,yes,yes,Đức Trọng, Lâm Đồng
23.0,48.0,4,4,6,5.0,3.8,yes,yes,Ba Đình, Hà Nội
11.3,80.0,5,3,4,4.0,4.0,yes,yes,Hoàng Mai, Hà Nội
7.65,38.0,4,4,5,4.0,5.0,yes,yes,Hoàng Mai, Hà Nội
9.5,45.0,4,4,5,2.5,4.0,yes,yes,Thanh Xuân, Hà Nội
21.7,52.0,5,5,6,12.0,4.5,yes,yes,Hai Bà Trưng, Hà Nội
12.0,60.0,4,3,4,2.5,6.2,yes,yes,Thanh Xuân, Hà Nội
45.0,117.0,10,10,10,,6.0,yes,yes,Đống Đa, Hà Nội
2.4,44.3,2,2,2,4.0,4.0,yes,yes,Dĩ An, Bình Dương
21.5,62.0,5,6,7,6.0,5.1,no,yes,Tây Hồ, Hà Nội
12.65,71.5,7,5,5,3.5,3.5,yes,no,Thanh Xuân, Hà Nội
10.7,45.0,5,4,5,2.8,5.5,yes,yes,Tây Hồ, Hà Nội
15.8,118.0,4,5,3,,,yes,yes,Tân Phú, Hồ Chí Minh
15.6,60.0,,,1,2.5,3.7,yes,yes,Tây Hồ, Hà Nội
35.0,262.0,3,2,2,30.0,6.0,yes,yes,Thủ Đức, Hồ Chí Minh
4.35,64.0,3,3,2,8.0,4.0,yes,yes,Bình Tân, Hồ Chí Minh
5.15,80.0,3,2,2,5.0,4.0,yes,no,Bình Tân, Hồ Chí Minh
3.3,45.0,,,,3.0,3.5,yes,yes,Đông Anh, Hà Nội
5.5,53.0,3,3,3,6.0,,yes,no,Quận 6, Hồ Chí Minh
6.8,42.0,3,3,4,4.0,5.2,yes,yes,Quận 4, Hồ Chí Minh
18.2,88.0,4,3,4,,,yes,no,Thanh Xuân, Hà Nội
1.4,47.0,1,1,1,5.0,7.0,no,no,Hà Đông, Hà Nội
2.15,66.3,3,3,3,,,yes,yes,An Dương, Hải Phòng
22.0,65.0,5,6,3,5.0,3.5,yes,yes,Bình Thạnh, Hồ Chí Minh
8.0,92.0,3,4,2,6.0,8.0,yes,yes,Thủ Đức, Hồ Chí Minh
8.8,160.0,15,15,3,6.0,8.5,yes,yes,Bình Tân, Hồ Chí Minh
12.5,55.0,13,13,6,4.0,5.0,yes,yes,Thanh Xuân, Hà Nội
2.45,64.0,3,3,3,4.5,,yes,yes,An Dương, Hải Phòng
11.9,40.0,3,4,5,3.0,3.0,yes,yes,Hai Bà Trưng, Hà Nội
6.39,54.0,4,5,4,6.0,4.0,yes,yes,Nhà Bè, Hồ Chí Minh
12.5,50.0,5,5,7,,,yes,yes,Hà Đông, Hà Nội
11.5,66.0,10,10,6,,,yes,yes,Nam Từ Liêm, Hà Nội
